country;population;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling
Moldova;2996106;32850;91;76.8;72.556;37.1;94.2;12;75;5.61;86.1;80.4;37.1;86.1;57.2;10.6;3.4;12
Monaco;38341;1;25732;65.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mongolia;3517100;1553560;2;72.2;70.91;54.7;54.6;41;39;50.31;84;79.6;16.7;84;51.1;13.2;0.8;9
Montenegro;632729;13450;47;0;77.682;0;0;0;0;0;0;0;0;0;0;0;0;0
Morocco;38430770;446300;86;65.2;77.838;38.6;39.6;13;75;70.57;75.4;77.1;27.4;75.4;37.2;6.4;1.6;6
Mozambique;35631653;786380;45;16.3;62.882;75.1;4.6;17;63;7.14;60.8;65.3;32.3;60.8;30.2;0.6;0.1;3
Myanmar;54850648;653290;84;57.9;68.14;53.6;54.6;27;57;36.31;68.6;57;52.6;68.6;5.4;4.8;0.9;6
Namibia;3092816;823290;4;48.5;65.468;45.6;5.6;12;84;4.03;58.7;74.1;26.7;58.7;65.2;8.9;2;7
Nauru;12025;20;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nepal;29618118;143350;207;51.5;72.192;75.6;57.9;36;16;14.18;64;52.1;28.5;64;46.2;4.3;0.5;5
Netherlands;18346819;33720;544;92;83.072;64.2;89.5;11;100;141.03;94.3;97.4;9.4;94.3;91.9;46.7;50.3;13
New Zealand;5251899;263310;20;93.8;83.1;67.2;73.8;9;100;33.78;91.3;96.6;10.1;91.3;91.8;33.6;49.7;13
Nicaragua;7007502;120340;58;67.4;75.638;59.7;30.7;16;56;5.06;53.6;60.3;51.2;53.6;11.6;6.5;1.7;7
Niger;27917831;1266700;22;25;64.276;72.4;40.2;50;47;2.71;68.9;67.3;41.8;68.9;43.1;0.9;0;2
Nigeria;237527782;910770;261;31.1;56.358;48.5;55.1;56;29;137;60.9;56.2;57.4;60.9;34.5;5.9;0.5;7
North Korea;26571036;120410;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
North Macedonia;1813791;25220;72;76;76.528;44.3;80.3;0;80;6.85;85.3;80.3;36.2;85.3;56.4;19.7;0;10
Norway;5623071;365268;15;94.7;83.232;62.9;90;6;99;40.93;93.6;97.1;12.9;93.6;96.2;62.8;54.7;13
Oman;5494691;309500;18;80.1;78.98;66.1;51.4;35;91;80.97;58.2;74.1;17.4;58.2;42.5;27.7;7.4;12
Pakistan;255219554;770880;331;52.3;68.082;47.9;67.8;50;51;229.51;68.6;67.1;32.8;68.6;26.2;4.1;0.5;5
Palau;17663;460;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palestine State;5589623;6020;929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama;4571189;74340;61;79;79.444;54;36.2;12;94;13.04;72.3;62.8;49.2;72.3;51.9;33.9;6.1;10
Papua New Guinea;10762817;452860;24;53.7;65.596;45.9;46.9;9;45;8.5;45.9;53.9;32.4;45.9;41.9;3.1;0.7;11
Paraguay;7013078;397300;18;58.3;74.806;66.9;54.6;12;64;8.57;75.6;66;47.1;75.6;40.5;14.9;1.7;5
Peru;34576665;1280000;27;70.4;77.852;70.3;60.9;29;52;56.28;76.5;62.7;46.7;76.5;43.3;14.6;2.7;9
