;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
107;Marshall Islands;36282;180;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Mauritania;5315065;1030700;5;50.6;65.914;39.6;60.2;42;72;4.1;62.5;69.1;28.6;62.5;41.8;5.1;0.2;5;6460;MRT;2022;4875645;15674545152;0;0;4.578;0.075;1.656;4.841;0.098;2.065;0.993;0.309;1.084519033;0.939;0.292;0.230389568;305.6257623;1.48792303;0;88.931;130.47;17052.4864;1.008;4545.108843;61.167;87.486;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.367;3.617;0.263;0.054;9.125;1.872;3.205;0.657;4.578;0.939;2662.128098;0;0.012;0.012;3.077753354;0;0.005;0.005;3.313702;0.005;3.731023326;0.007;0.014;0;3.860033117;0.007;0.038;0.028;0;0;0;0;17.633;6.666
109;Mauritius;1268280;2030;625;77.8;75.81;52.4;44.3;11;100;4.47;78.3;85.7;21.6;78.3;68.3;20.8;9.5;10;6514;MUS;2022;1276134;26988574720;0;0;3.928;-0.044;-1.098;3.9;-0.053;-1.349;3.056;0.145;1.084519033;3.078;0.146;0.230389568;1.902;1.491;0;123.572;126.425;34.551;0;4545.108843;-0.212;89.021;24751.67803;1.767313535;0;0;177.0031629;1.832210367;3.685;3.797;-0.028;-0.022;0.695;0.545;0.208;0.163;2.026;1.587;2662.128098;0;0.011;0.01;0.013;0;0.007;0.005;0.004;0;3.731023326;0;0.014;0;3.860033117;-0.001;0.017;0.006;0;0;0;0;4.846;4.703
110;Mexico;131946900;1943950;68;69.7;75.738;56.4;48.9;18;43;407.22;91.6;73.3;30.6;91.6;38.5;18.7;6.8;9;6568;MEX;2022;128613113;2.03344E+12;18.79;0.146;465.336;18.502;4.141;446.459;9.457;2.164;3.471;0.22;0.196;3.618;0.229;0.205;35.958;0.28;702.793;21108.137;35293.156;1663.498;477.687;4539.956;14312.132;13724.201;17827.531;1.118;10.656;0.083;164.588;1.28;5.116;5.89;-18.876;-0.147;180.974;1.407;116.165;0.903;235.344;1.83;2273.084;1.174;1.248;1.093;0.237;1.502;1.189;1.365;0.203;2.464;1.732;1.754;2.228;2.644;2.085;-0.533;1.976;1.389;0.008;0.014;0.023;0.002;757.483;658.025
111;Micronesia;113683;700;162;0;74.424;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Moldova;2996106;32850;91;76.8;72.556;37.1;94.2;12;75;5.61;86.1;80.4;37.1;86.1;57.2;10.6;3.4;12;6622;MDA;2022;3039987;23827554304;0.599;0.197;5.79;-0.06;-1.02;2.263;-0.141;-5.848;0.744;0.095;1.084519033;1.905;0.243;0.230389568;0.308;0.101;36.839;1347.928;1432.59;402.585;3.596;200.969;107.038;703.938;24751.67803;1.767313535;0;0;1.911;0.629;2.441;2.267;-3.527;-1.16;1.976;0.65;1.086;0.357;2.972;0.978;2662.128098;0.037;0.016;0.006;0.002;0.079;0.076;0.055;0.049;0.019;0.077;0.013;0.114;0;0.024;-0.1;0.025;0.053;0;0.001;0.001;0;6.892;7.421
113;Monaco;38341;1;25732;65.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Mongolia;3517100;1553560;2;72.2;70.91;54.7;54.6;41;39;50.31;84;79.6;16.7;84;51.1;13.2;0.8;9;6676;MNG;2022;3386015;44809465856;0.574;0.169;43.415;1.562;3.733;50.26;1.414;2.895;14.843;1.122;1.084519033;12.822;0.969;0.230389568;37.922;11.2;7.064;776.136;2018.946;646.122;0.114;4545.108843;2485.354;122.836;24751.67803;1.767313535;0;0;177.0031629;1.832210367;17.098;26.868;6.845;2.022;33.139;9.787;13.781;4.07;4.918;1.453;2662.128098;0.036;0.116;0.123;0.25;0.015;0.044;0.078;0.079;0.001;3.731023326;0.305;0.02;0;3.860033117;0.193;0.041;0.2;0.001;0.002;0.003;0;90.974;57.895
115;Montenegro;632729;13450;47;0;77.682;0;0;0;0;0;0;0;0;0;0;0;0;0;6730;MNE;2022;614650;12774400000;18.4760498;0.113079184;2.391;-0.02;-0.846;-0.053;0.043;-44.847;-0.086;-0.004;1.084519033;3.889;0.187;0.230389568;1.293;2.103;468.9268477;109.485;217.874;76.736;0.035;4545.108843;210.43;32.714;24751.67803;1.767313535;0;0;177.0031629;1.832210367;4.637;2.57;-2.444;-3.976;0.671;1.091;0.176;0.286;1.098;1.786;2662.128098;2.327716372;0.006;0;0.009;2.441075737;0.006;0.008;0.009;0;3.731023326;0.026;0.005;0;3.860033117;-0.069;0.009;0.009;0;0;0;0;1.58;2.85
116;Morocco;38430770;446300;86;65.2;77.838;38.6;39.6;13;75;70.57;75.4;77.1;27.4;75.4;37.2;6.4;1.6;6;6784;MAR;2022;37329069;3.11655E+11;5.11;0.137;69.506;-0.74;-1.053;60.534;-4.131;-6.389;1.622;0.194;0.227;1.862;0.223;0.26;26.715;0.716;175.501;1877.331;3215.963;503.59;0;34.37;1786.577;1163.87;7129.506;0.857;0;0;0.431;0.012;2.575;2.866;-8.972;-0.24;33.131;0.888;9.093;0.244;37.25;0.998;267.057;0.319;0.186;0.148;0.176;0.375;0.106;0.124;0.061;0;0.013;0.219;0.189;0;0.005;-0.253;0.313;0.17;0.001;0.001;0.003;0;106.987;96.125
117;Mozambique;35631653;786380;45;16.3;62.882;75.1;4.6;17;63;7.14;60.8;65.3;32.3;60.8;30.2;0.6;0.1;3;6838;MOZ;2022;32656240;31441725440;1.162;0.036;8.358;0.49;6.231;38.44;0.729;1.932;1.177;1.223;1.084519033;0.256;0.266;0.230389568;0.028;0.001;17.565;192.761;4425.125;44.092;0.979;16.472;5740.32;113.653;24751.67803;1.767313535;0.826;0.025;1.928;0.059;0.955;2.218;30.082;0.921;29.645;0.908;11.804;0.361;4.413;0.135;2662.128098;0.073;0.022;0.094;0;0.038;0.011;0.171;0.005;0.005;0.006;0.704;0.018;0.205;0.024;0.85;0.037;0.178;0.001;0.002;0.003;0;72.44;31.194
118;Myanmar;54850648;653290;84;57.9;68.14;53.6;54.6;27;57;36.31;68.6;57;52.6;68.6;5.4;4.8;0.9;6;6892;MMR;2022;53756790;2.91025E+11;2.557;0.048;29.533;-0.067;-0.227;94.374;-0.911;-0.957;1.756;0.324;1.084519033;0.549;0.101;0.230389568;3.322;0.062;23.594;662.705;8379.634;57.654;6.504;177.518;16188.529;397.435;24751.67803;1.767313535;0.025;0;8.514;0.158;1.003;3.738;64.841;1.206;73.307;1.364;14.892;0.277;15.116;0.281;2662.128098;0.16;0.079;0.231;0.022;0.05;0.037;0.324;0.007;0.034;0.068;1.984;0.065;0.006;0.108;1.831;0.127;0.674;0.003;0.007;0.011;0;200.943;53.935
119;Namibia;3092816;823290;4;48.5;65.468;45.6;5.6;12;84;4.03;58.7;74.1;26.7;58.7;65.2;8.9;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Nauru;12025;20;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6946;NRU;2022;11821;5.28502E+11;0;0;0.056;0.001;2.394;0.056;0.001;2.394;4.761;0.937101354;1.084519033;4.761;0.389399806;0.230389568;305.6257623;1.48792303;0;4.962;4.962;17052.4864;0;4545.108843;0;4.962;24751.67803;1.767313535;0;0;177.0031629;1.832210367;4.836;4.962;0;0;0.002;0.159;0.001;0.043;0.056;4.761;2662.128098;0;0;0;3.077753354;0;0;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;0;0;0;0;0;0;0;0.059;0.057
121;Nepal;29618118;143350;207;51.5;72.192;75.6;57.9;36;16;14.18;64;52.1;28.5;64;46.2;4.3;0.5;5;7000;NPL;2022;29715434;95965913088;3.435;0.116;16.089;0.365;2.324;29.529;-0.309;-1.037;0.994;0.308;1.084519033;0.541;0.168;0.230389568;4.705;0.158;31.608;193.652;1586.671;51.639;0;4545.108843;2270.962;110.405;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.861;2.025;13.44;0.452;29.866;1.005;7.225;0.243;7.95;0.268;2662.128098;0.215;0.043;0.072;0.031;0.068;0.011;0.061;0.006;0;3.731023326;0.278;0.018;0;3.860033117;0.38;0.067;0.135;0.001;0.001;0.002;0;60.177;25.591
122;Netherlands;18346819;33720;544;92;83.072;64.2;89.5;11;100;141.03;94.3;97.4;9.4;94.3;91.9;46.7;50.3;13;7054;NLD;2022;17904422;8.79609E+11;0;0;127.241;-12.443;-8.908;126.536;-13.124;-9.397;7.067;0.144;0.132;7.107;0.145;0.133;24.291;1.357;56.438;12022.389;13057.342;3956.824;31.248;4064.206;1048.671;3874.497;54383.41;1.086;1.096;0.061;57.088;3.188;7.942;9.101;-0.705;-0.039;21.337;1.192;11.911;0.665;43.644;2.438;955.191;0;0.341;0.31;0.16;0.121;0.677;0.505;0.482;0.161;1.55;0.129;0.629;0.272;0.723;-0.02;0.366;0.461;0.001;0.006;0.008;0.001;162.94;142.195
123;New Zealand;5251899;263310;20;93.8;83.1;67.2;73.8;9;100;33.78;91.3;96.6;10.1;91.3;91.8;33.6;49.7;13;7162;NZL;2022;5131733;2.00603E+11;0.408;0.08;31.61;-2.713;-7.903;51.354;-2.867;-5.288;10.007;0.256;0.221;6.16;0.158;0.136;4.288;0.836;34.236;1948.126;5108.104;636.635;30.499;337.874;3159.979;887.489;44782.684;1.158;0.862;0.168;6.14;1.196;7.526;15.821;19.744;3.847;35.572;6.932;13.676;2.665;19.306;3.762;232.211;0.026;0.085;0.126;0.028;0.073;0.11;0.198;0.078;0.157;0.129;0.387;0.144;0.214;0.078;0.558;0.162;0.294;0.002;0.002;0.005;0.001;81.191;38.624
124;Nicaragua;7007502;120340;58;67.4;75.638;59.7;30.7;16;56;5.06;53.6;60.3;51.2;53.6;11.6;6.5;1.7;7;7216;NIC;2022;6730661;32764782592;0.198;0.029;5.296;0.151;2.94;13.674;0.509;3.87;2.032;0.417;1.084519033;0.787;0.162;0.230389568;305.6257623;1.48792303;8.795;187.18;4451.912;17052.4864;0;4545.108843;4349.46;178.06;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.223;5.957;8.378;1.245;12.217;1.815;3.427;0.509;5.098;0.757;2662.128098;0.012;0.014;0.033;3.077753354;0.019;0.011;0.172;3.313702;0;3.731023326;0.533;0.029;0;3.860033117;0.237;0.043;0.143;0;0.002;0.002;0;40.091;8.229
125;Niger;27917831;1266700;22;25;64.276;72.4;40.2;50;47;2.71;68.9;67.3;41.8;68.9;43.1;0.9;0;2;7270;NER;2022;25311977;24776755200;0.036;0.001;2.697;-0.015;-0.567;11.707;0.147;1.268;0.463;0.473;1.084519033;0.107;0.109;0.230389568;0.33;0.013;0.79;54.26;1304.85;12.597;1.06;0.294;1741.72;39.52;24751.67803;1.767313535;0.071;0.003;0.07;0.003;0.348;2.34;9.01;0.356;30.617;1.21;12.865;0.508;2.19;0.087;2662.128098;0.002;0.007;0.029;0.002;0.002;0.003;0.05;0.002;0.005;0;0.213;0.006;0.018;0.001;0.254;0.018;0.117;0.001;0.001;0.002;0;59.228;8.815
126;Nigeria;237527782;910770;261;31.1;56.358;48.5;55.1;56;29;137;60.9;56.2;57.4;60.9;34.5;5.9;0.5;7;7324;NGA;2022;223150906;1.13445E+12;11.237;0.05;131.568;-3.502;-2.593;139.178;-2.929;-2.061;0.624;0.123;1.084519033;0.59;0.116;0.230389568;6.112;0.027;155.99;4503.998;14341.194;160.493;1546.616;782.605;10606.027;1858.293;24751.67803;1.767313535;9.999;0.045;36.506;0.164;1.46;1.843;7.61;0.034;235.639;1.056;41.496;0.186;67.714;0.303;2662.128098;0.702;0.353;0.341;0.04;0.333;0.254;0.555;0.02;7.978;0.299;1.3;0.302;2.481;0.463;0.215;0.569;1.145;0.011;0.007;0.019;0.001;411.202;325.756
127;North Korea;26571036;120410;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7540;PRK;2022;26328842;40488849408;2.5;0.095;56.192;2.241;4.153;51.961;2.189;4.399;1.974;1.283;1.084519033;2.134;1.388;0.230389568;51.156;1.943;155.963;5367.642;3884.534;4944.018;0;4545.108843;-1402.869;267.662;24751.67803;1.767313535;0;0;177.0031629;1.832210367;2.81;2.968;-4.231;-0.161;20.765;0.789;2.222;0.084;2.536;0.096;2662.128098;0.156;0.151;0.127;0.337;0.333;0.302;0.15;0.603;0;3.731023326;-0.172;0.043;0;3.860033117;-0.119;0.021;0.199;0.001;0.002;0.003;0;78.136;73.973
128;North Macedonia;1813791;25220;72;76;76.528;44.3;80.3;0;80;6.85;85.3;80.3;36.2;85.3;56.4;19.7;0;10;7594;MKD;2022;1840236;28770254848;18.4760498;0.113079184;7.127;0.639;9.842;6.988;0.453;6.924;3.797;0.243;0.228;3.873;0.248;0.233;3.215;1.747;468.9268477;525.047;928.077;319.704;0.162;6.794;497.084;198.387;14631.11;1.065;0;0;0.493;0.268;4.467;4.764;-0.14;-0.076;1.652;0.898;0.513;0.279;3.42;1.858;30.632;2.327716372;0.019;0.017;0.021;2.441075737;0.03;0.036;0.039;0.001;0.003;0.061;0.032;0;0.006;-0.004;0.029;0.026;0;0;0;0;8.768;8.22
129;Norway;5623071;365268;15;94.7;83.232;62.9;90;6;99;40.93;93.6;97.1;12.9;93.6;96.2;62.8;54.7;13;7648;NOR;2022;5456795;4.82328E+11;0.71;0.13;40.808;-0.22;-0.536;47.544;0.112;0.237;8.713;0.099;0.089;7.478;0.085;0.077;3.677;0.674;63.313;2710.467;3746.051;619.977;74.267;483.906;1036.599;1445.996;98027.531;1.104;0.788;0.144;12.915;2.367;11.446;13.273;6.736;1.235;22.819;4.182;4.121;0.755;22.15;4.059;532.713;0.044;0.109;0.116;0.024;0.135;0.153;0.145;0.076;0.383;0.185;0.127;0.235;0.196;0.164;0.19;0.186;0.166;0.001;0.001;0.003;0;72.43;62.459
130;Oman;5494691;309500;18;80.1;78.98;66.1;51.4;35;91;80.97;58.2;74.1;17.4;58.2;42.5;27.7;7.4;12;7756;OMN;2022;4730227;1.77355E+11;2.253;0.476;76.606;1.49;1.983;76.99;1.509;1.999;16.276;0.434;0.185;16.195;0.432;0.184;0.024;0.005;41.605;1500.521;1505.196;1.533;187.572;912.128;-3.595;357.683;91100.969;2.351;3.895;0.823;58.022;12.266;25.139;25.602;0.384;0.081;42.865;9.062;1.376;0.291;12.412;2.624;416.905;0.141;0.205;0.189;0;0.089;0.085;0.058;0;0.968;0.348;0;0.058;0.966;0.735;0.011;0.104;0.131;0.001;0.001;0.002;0;121.106;118.913
131;Pakistan;255219554;770880;331;52.3;68.082;47.9;67.8;50;51;229.51;68.6;67.1;32.8;68.6;26.2;4.1;0.5;5;7810;PAK;2022;243700667;1.31883E+12;16.917;0.069;223.834;-24.067;-9.708;229.783;-23.855;-9.405;0.943;0.174;0.23;0.918;0.17;0.224;56.305;0.231;337.015;5512.819;7596.74;860.45;29.338;1988.412;2918.181;2297.605;4234.945;0.757;0.452;0.002;59.875;0.246;1.274;2.192;5.949;0.024;234.917;0.964;72.352;0.297;90.286;0.37;998.705;1.057;0.6;0.563;0.371;0.72;0.311;0.294;0.105;0.151;0.758;0.358;0.373;0.112;0.759;0.168;0.758;0.756;0.008;0.003;0.012;0.001;534.287;310.393
132;Palau;17663;460;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7864;PLW;2022;17784;5.28502E+11;0;0;0.218;0.005;2.394;0.218;0.005;2.394;12.236;0.937101354;1.084519033;12.236;0.389399806;0.230389568;305.6257623;1.48792303;0;10.986;10.986;17052.4864;0;4545.108843;0;10.986;24751.67803;1.767313535;0;0;177.0031629;1.832210367;15.709;16.602;0;0;0.049;2.769;0.028;1.597;0.218;12.236;2662.128098;0;0.001;0.001;3.077753354;0;0.001;0;3.313702;0;3.731023326;0;0.002;0;3.860033117;0;0.002;0;0;0;0;0;0.295;0.279
133;Palestine State;5589623;6020;929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Panama;4571189;74340;61;79;79.444;54;36.2;12;94;13.04;72.3;62.8;49.2;72.3;51.9;33.9;6.1;10;7972;PAN;2022;4400772;94762123264;0.318;0.072;11.356;0.815;7.729;15.526;0.683;4.604;3.528;0.164;1.084519033;2.58;0.12;0.230389568;1.649;0.375;19.507;340.651;2467.864;17.461;0;6.983;2345.758;296.701;24751.67803;1.767313535;0;0;2.41;0.548;3.125;5.155;4.171;0.948;4.69;1.066;1.35;0.307;6.978;1.586;2662.128098;0.02;0.03;0.038;0.011;0.042;0.019;0.095;0.002;0;0.003;0.288;0.048;0;0.031;0.118;0.059;0.071;0;0.001;0.001;0;22.685;13.751
135;Papua New Guinea;10762817;452860;24;53.7;65.596;45.9;46.9;9;45;8.5;45.9;53.9;32.4;45.9;41.9;3.1;0.7;11;8026;PNG;2022;10203176;5.28502E+11;0;0;8.201;0.071;0.873;43.33;3.68;9.282;4.247;0.937101354;1.084519033;0.804;0.389399806;0.230389568;305.6257623;1.48792303;0;193.389;1660.429;17052.4864;6.285;17.205;2727.787;169.848;24751.67803;1.767313535;0.16;0.016;1.821;0.178;1.161;4.914;35.13;3.443;4.455;0.437;1.741;0.171;6.22;0.61;2662.128098;0;0.022;0.106;3.077753354;0;0.011;0.064;3.313702;0.032;0.007;0.334;0.028;0.04;0.023;0.992;0.052;0.093;0;0.001;0.002;0;50.142;11.851
136;Paraguay;7013078;397300;18;58.3;74.806;66.9;54.6;12;64;8.57;75.6;66;47.1;75.6;40.5;14.9;1.7;5;8080;PRY;2022;6760461;65127632896;0.296;0.044;8.107;-0.026;-0.318;24.134;-0.484;-1.966;3.57;0.371;1.084519033;1.199;0.124;0.230389568;0.003;0;9.77;193.434;4175.92;0.155;0;4545.108843;4055.147;183.508;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.769;11.953;16.026;2.371;26.914;3.981;9.698;1.434;7.809;1.155;2662.128098;0.018;0.022;0.059;0;0.021;0.011;0.161;0;0;3.731023326;0.497;0.03;0;3.860033117;0.453;0.066;0.188;0.001;0.002;0.003;0;80.805;11.959
137;Peru;34576665;1280000;27;70.4;77.852;70.3;60.9;29;52;56.28;76.5;62.7;46.7;76.5;43.3;14.6;2.7;9;8134;PER;2022;33475435;3.41678E+11;5.527;0.165;54.793;2.776;5.337;59.002;0.653;1.118;1.763;0.173;0.175;1.637;0.16;0.162;2.016;0.06;122.672;2006.18;7880.06;131.798;26.714;272.836;5918.031;1452.16;9925.625;0.989;0.148;0.004;18.912;0.565;2.283;4.114;4.209;0.126;39.607;1.183;9.681;0.289;28.191;0.842;337.963;0.345;0.147;0.144;0.013;0.262;0.113;0.305;0.016;0.138;0.104;0.725;0.236;0.037;0.24;0.119;0.237;0.325;0.002;0.004;0.005;0;137.703;76.415
138;Philippines;116786962;298170;392;70.8;71.916;54.7;60.9;23;48;144.25;85.2;74.2;34.2;85.2;40.2;8.6;1.5;10;8188;PHL;2022;113964342;1.01481E+12;10.335;0.091;144.898;3.724;2.638;172.356;4.195;2.495;1.512;0.17;0.302;1.271;0.143;0.254;75.345;0.661;256.117;3659.262;14606.222;953.423;3.302;141.85;14466.964;2304.572;4941.15;0.563;0.135;0.001;6.158;0.054;1.658;2.415;27.458;0.241;95.235;0.836;13.977;0.123;52.925;0.464;570.994;0.645;0.389;0.422;0.496;0.547;0.206;0.565;0.116;0.017;0.054;1.773;0.374;0.034;0.078;0.775;0.444;0.687;0.004;0.007;0.011;0;275.263;188.924
139;Poland;38140910;306230;125;76.7;79.598;55.1;80.1;19;89;328.59;94.7;88.8;21.7;94.7;66.7;32.4;7;9;8242;POL;2022;38385734;1.23102E+12;7.663;0.2;315.042;-15.937;-4.815;282.3;-14.464;-4.874;7.354;0.229;0.238;8.207;0.256;0.265;172.222;4.487;430.785;28495.57;28876.553;23374.771;119.067;1259.223;441.141;3157.219;29778.053;0.964;4.056;0.106;34.305;0.894;9.258;9.503;-32.743;-0.853;45.999;1.198;27.394;0.714;91.223;2.376;1186.868;0.479;0.845;0.691;1.134;0.921;1.606;1.117;2.85;0.614;0.48;0.054;0.512;1.006;0.435;-0.925;0.766;1.03;0.003;0.013;0.017;0.001;364.79;355.376
140;Portugal;10411834;91590;114;92.9;82.954;54;75.7;7;95;40.78;93.8;92.6;17.6;93.8;80.7;31.3;23.5;13;8296;PRT;2022;10417075;2.95713E+11;2.229;0.214;40.687;0.403;1;41.801;0.838;2.045;4.013;0.141;0.159;3.906;0.138;0.155;0.245;0.023;163.785;2694.799;3103.306;651.35;19.956;234.735;471.202;1598.984;25574.793;0.888;1.175;0.113;11.368;1.091;4.654;5.492;1.114;0.107;11.895;1.142;3.151;0.302;24.868;2.387;262.675;0.139;0.109;0.102;0.002;0.35;0.152;0.12;0.079;0.103;0.09;0.058;0.26;0.291;0.144;0.031;0.209;0.12;0;0.001;0.002;0;57.206;48.483
141;Qatar;3115889;11610;268;81.2;81.026;87.1;29.6;59;97;95.67;66.8;68.1;16.1;66.8;52;81.1;27.2;10;8350;QAT;2022;2892465;3.81778E+11;1.537;0.531;106.152;1.908;1.83;106.164;1.909;1.831;36.704;0.278;0.187;36.699;0.278;0.187;0.003;0.001;35.797;2311.874;2313.021;0.003;211.881;1725.766;1.33;338.426;210256.281;1.484;1.856;0.642;90.968;31.45;67.014;67.232;0.012;0.004;87.382;30.21;0.921;0.318;11.787;4.075;566.668;0.096;0.285;0.26;0;0.076;0.13;0.089;0;1.093;0.658;0;0.055;0.461;1.153;0;0.099;0.241;0.003;0.001;0.004;0;194.465;193.836
142;Romania;18908650;230170;82;77.2;76.776;49.5;73.2;13;82;79.33;88.6;85.5;26.8;88.6;64.6;32.6;6;10;8404;ROU;2022;19166776;5.04742E+11;3.723;0.194;72.993;-4.278;-5.536;58.647;-4.626;-7.31;3.06;0.116;0.163;3.808;0.145;0.203;13.651;0.712;262.236;8723.537;11759.943;2602.341;32.666;2960.6;3231.988;2828.205;18318.545;0.713;0.808;0.042;21.552;1.124;4.83;5.329;-14.346;-0.748;24.381;1.272;10.848;0.566;32.4;1.69;360.129;0.233;0.196;0.144;0.09;0.56;0.492;0.455;0.317;0.169;1.129;0.396;0.459;0.2;0.273;-0.405;0.272;0.368;0.001;0.004;0.006;0;102.139;92.575
143;Russia;143997393;16376870;9;75.9;73.264;58.3;71.6;9;76;1755.53;82.9;74.7;26;82.9;15.1;32.3;5.5;11;8458;RUS;2022;145579890;3.73144E+12;22.48;0.154;1802.19;90.197;5.269;2204.473;157.132;7.675;15.143;0.591;0.255;12.379;0.483;0.209;428.488;2.943;1681.877;119450.609;225538.625;46056.094;1548.149;35962.586;109915.891;33628.086;59650.238;2.313;60.216;0.414;887.432;6.096;15.832;18.329;402.283;2.763;523.302;3.595;83.653;0.575;386.742;2.657;8632.184;1.404;4.832;5.399;2.822;3.594;6.731;8.722;5.616;7.986;13.717;13.472;5.458;14.941;11.244;11.361;3.247;6.815;0.02;0.088;0.112;0.004;2668.347;2304.834
144;Rwanda;14569341;24670;591;52.8;70.536;81;29.2;36;60;1.76;73.1;72.8;28.9;73.1;41;2;0.4;13;8512;RWA;2022;13651026;28466253824;0.222;0.016;1.541;-0.118;-7.113;3.52;-0.247;-6.567;0.258;0.124;1.084519033;0.113;0.054;0.230389568;0.02;0.001;1.999;32.728;382.556;0.109;0.022;0.725;509.785;29.874;24751.67803;1.767313535;0;0;0.098;0.007;0.442;0.774;1.979;0.145;6.222;0.456;1.918;0.141;1.2;0.088;2662.128098;0.014;0.004;0.009;0;0.004;0.002;0.015;0;0;0;0.062;0.005;0;0.001;0.056;0.01;0.029;0;0;0;0;10.561;6.034
145;Saint Kitts and Nevis;46922;260;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8566;KNA;2022;46731;5.28502E+11;0;0;0.224;-0.007;-3.046;0.166;-0.004;-2.479;3.545;0.937101354;1.084519033;4.789;0.389399806;0.230389568;305.6257623;1.48792303;0;7.509;3.984;17052.4864;0;4545.108843;-1.666;7.497;24751.67803;1.767313535;0;0;177.0031629;1.832210367;5.711;5.519;-0.058;-1.244;0.045;0.968;0.006;0.136;0.224;4.789;2662.128098;0;0.001;0;3.077753354;0;0;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;-0.002;0.002;0;0;0;0;0;0.258;0.267
146;Saint Lucia;180149;610;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8620;LCA;2022;178794;1749086208;0;0;0.49;-0.015;-3.046;0.39;-0.012;-2.881;2.179;0.223;1.084519033;2.742;0.28;0.230389568;305.6257623;1.48792303;0;15.399;15.129;17052.4864;0;4545.108843;1.122;15.399;24751.67803;1.767313535;0;0;177.0031629;1.832210367;3.135;3.069;-0.101;-0.563;0.083;0.463;0.021;0.118;0.49;2.742;2662.128098;0;0.001;0.001;3.077753354;0;0.001;0.001;3.313702;0;3.731023326;0;0.002;0;3.860033117;-0.003;0.004;0.001;0;0;0;0;0.549;0.56
147;Saint Vincent and the Grenadines;99924;390;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8674;VCT;2022;102062;5.28502E+11;0;0;0.227;-0.007;-3.046;0.16;-0.007;-4.271;1.569;0.937101354;1.084519033;2.228;0.389399806;0.230389568;305.6257623;1.48792303;0;7.445;8.949;17052.4864;0;4545.108843;1.97;7.445;24751.67803;1.767313535;0;0;177.0031629;1.832210367;2.784;2.693;-0.067;-0.659;0.061;0.598;0.01;0.102;0.227;2.228;2662.128098;0;0.001;0;3.077753354;0;0;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;-0.002;0.002;0;0;0;0;0;0.275;0.284
